SHOW_ID,TYPE,TITLE,DIRECTOR,CAST,COUNTRY,DATE_ADDED,RELEASE_YEAR,RATING,DURATION,LISTED_IN,DESCRIPTION,DATE_ADDED_FORMATTED,MONTH_YEAR
s716,tv show,elite short stories: nadia guzmán,francine parker,"mina el hammani, miguel bernardeau, omar ayuso",UNITED STATES,2021-06-15,2021,tv-ma,1 season,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows","Nadia feels conflicted about whether or not to see her long distance boyfriend, Guzmán, when she returns to Spain for her sister's wedding.",15-06-2021,2021-06
s717,movie,fta,francine parker,"jane fonda, donald sutherland, pamela donegan, len chandler, michael alaimo, holly near, paul mooney, rita martinson",UNITED STATES,2021-06-15,1972,tv-ma,104 min,Documentaries,"The restored documentary captures the Pacific leg of the 1971 anti-Vietnam War ""Free the Army"" comedy tour and experiences on both sides of the stage.",15-06-2021,2021-06
s718,movie,headspace: unwind your mind,daniel schechter,"andy puddicombe, evelyn lewis prieto, ginger daniels, darren pettie, simon prebble, rhiannon mcgavin, kate seftel",UNITED STATES,2021-06-15,2021,tv-g,273 min,Documentaries,"Do you want to relax, meditate or sleep deeply? Personalize the experience according to your mood or mindset with this Headspace interactive special.",15-06-2021,2021-06
s719,movie,life of crime,daniel schechter,"jennifer aniston, mos def, isla fisher, will forte, mark boone junior, tim robbins, john hawkes, clea lewis, charlie tahan, kevin corrigan",UNITED STATES,2021-06-15,2013,r,101 min,"Comedies, Independent Movies","After two small-time crooks kidnap and ransom a rich businessman's wife, they discover a flaw in their plan: Her cheating husband doesn't want her back.",15-06-2021,2021-06
s720,tv show,power rangers dino fury,mike gunther,"russell curry, hunter deno, kai moya, tessa rao, chance perez, shavaughn ruakere, blair strang",UNITED STATES,2021-06-15,2021,tv-g,1 season,Kids' TV,"With the prehistoric force of the dinosaurs, a new crew of Power Rangers must deal with a menacing army of alien creatures attacking Earth.",15-06-2021,2021-06
s721,tv show,rhyme time town,mike gunther,"luke amis, annabelle westenholz-smith, maddie evans, jude muir",UNITED STATES,2021-06-15,2021,tv-y,2 seasons,Kids' TV,Fun-loving friends Daisy and Cole use music and imagination to solve problems in a town filled with nursery rhyme characters.,15-06-2021,2021-06
s722,movie,rogue warfare: death of a nation,mike gunther,"will yun lee, jermaine love, rory markham, bertrand-xavier corbi, katie keene, fernando chien, gina decesare, michael blalock, stephen lang, chris mulkey",UNITED STATES,2021-06-15,2020,r,99 min,Action & Adventure,"As their leader recovers from trauma, a global team of elite soldiers must regroup and stop the deadly plans of an extremist mastermind within 36 hours.",15-06-2021,2021-06
s723,movie,sir! no sir!,david zeiger,troy garity,UNITED STATES,2021-06-15,2005,tv-ma,84 min,Documentaries,This documentary chronicles the largely forgotten antiwar activities of American GIs and other members of the military during the Vietnam era.,15-06-2021,2021-06
s724,tv show,the american bible challenge,michael simon,jeff foxworthy,UNITED STATES,2021-06-15,2014,tv-g,1 season,Reality TV,"Join host Jeff Foxworthy as contestants test their knowledge of all things biblical, competing to win money for the charities of their choice.",15-06-2021,2021-06
s725,movie,the reason i jump,jerry rothwell,"miguel bernardeau, claudia salas, georgina amorós","UNITED STATES, UNITED KINGDOM",2021-06-15,2021,tv-14,82 min,Documentaries,The diverse experiences and emotions of five young people with autism fuel this illuminating documentary based on Naoki Higashida's bestselling memoir.,15-06-2021,2021-06
s726,tv show,elite short stories: guzmán caye rebe,"joe berlinger, bruce sinofsky","miguel bernardeau, claudia salas, georgina amorós",UNITED STATES,2021-06-14,2021,tv-ma,1 season,"International TV Shows, Spanish-Language TV Shows, TV Dramas","Rebe hosts an intimate house warming party for her friends, but the situation takes a dramatic turn with the help of drugs and unexpected visitors.",14-06-2021,2021-06
s727,tv show,metallica: some kind of monster,"joe berlinger, bruce sinofsky","james hetfield, lars ulrich, kirk hammett, robert trujillo",UNITED STATES,2021-06-13,2014,tv-ma,1 season,TV Shows,"This collection includes the acclaimed rock documentary about Metallica, plus a film checking in with the still-thriving group 10 years later.",13-06-2021,2021-06
s728,movie,picture a scientist,"ian cheney, sharon shattuck","alicia sanz, will patton, jonathan sadowski, adan canto, zach avery, chinaza uche, jesse latourette",UNITED STATES,2021-06-13,2020,tv-ma,97 min,Documentaries,"In this documentary, leading women scientists discuss the inequalities they've faced as they set out to create a new formula to make STEM open to all.",13-06-2021,2021-06
s729,movie,the devil below,bradley parker,"alicia sanz, will patton, jonathan sadowski, adan canto, zach avery, chinaza uche, jesse latourette",UNITED STATES,2021-06-13,2021,tv-ma,89 min,Horror Movies,"When a team of researchers tries to find out what started a fire in a coal mine, they quickly discover that the disaster is anything but natural.",13-06-2021,2021-06
s730,movie,bling empire - the afterparty,prabhakaran,"david spade, london hughes, fortune feimster",SOUTH KOREA,2021-06-12,2021,tv-ma,36 min,Movies,"The stars of ""Bling Empire"" discuss the show's success and play bling-themed games, then comic Joel Kim Booster makes his case for joining the cast.",12-06-2021,2021-06
s731,movie,cobra kai - the afterparty,prabhakaran,"david spade, london hughes, fortune feimster",SOUTH KOREA,2021-06-12,2021,tv-ma,34 min,Movies,"Ralph Macchio, William Zabka and more from the ""Cobra Kai"" cast drop by to chat Season 3 (spoilers ahead!), followed by Bill Burr of ""F Is for Family.""",12-06-2021,2021-06
s732,tv show,love (ft. marriage and divorce),prabhakaran,"sung hoon, lee tae-gon, park joo-mi, lee ga-ryoung, lee min-young, jeon no-min, jeon soo-kyeong, lim hye-young, song ji-in, moon sung-ho, roh joo-hyun, kim ameliia, kim eung-soo, lee jong-nam, lee hyo-chun, jun hye-won, lim han-bin, park seo-kyung, shin su-ho, yun seo-hyun",SOUTH KOREA,2021-06-12,2021,tv-14,2 seasons,"International TV Shows, TV Dramas","Everything comes unraveling for three successful women who work on a radio show as twists, turns and troubles plague their seemingly happy marriages.",12-06-2021,2021-06
s733,movie,to all the boys: always and forever - the afterparty,prabhakaran,"cast members of the ""to all the boys"" films dish about the third movie and answer some fan questions, plus whitney cummings gives suspect dating advice.",DENMARK,2021-06-12,2021,tv-ma,36 min,Movies,"Cast members of the ""To All the Boys"" films dish about the third movie and answer some fan questions, plus Whitney Cummings gives suspect dating advice.",12-06-2021,2021-06
s734,tv show,lego friends: the power of friendship,prabhakaran,"erica mendez, marianne miller, rachelle heger, millie o'conner, alexa kahn, doug stone, chris smith, bryce papenbrook, heather downey, chris hackney, ben pronsky",DENMARK,2021-06-11,2016,tv-y7,2 seasons,Kids' TV,"Five best friends face adventures side by side in their hometown. Zany antics, love and missteps are better with friends!",11-06-2021,2021-06
s735,tv show,lupin,prabhakaran,"omar sy, ludivine sagnier, clotilde hesme, nicole garcia, hervé pierre, soufiane guerrab, antoine gouy, fargass assandé, vincent londez, shirine boutella","FRANCE, UNITED STATES",2021-06-11,2021,tv-ma,2 seasons,"Crime TV Shows, International TV Shows, TV Action & Adventure","Inspired by the adventures of Arsène Lupin, gentleman thief Assane Diop sets out to avenge his father for an injustice inflicted by a wealthy family.",11-06-2021,2021-06
s736,movie,sarbath,prabhakaran,"kathir, soori, rahasya gorak, ashvatt",INDIA,2021-06-11,2021,tv-pg,113 min,"Comedies, Dramas, International Movies","When a city man returns to his native village for his brother’s wedding, several unforeseen snags make his visit more eventful than anticipated.",11-06-2021,2021-06
s737,movie,skater girl,manjari makijany,"rachel saanchita gupta, amy maghera, shafin patel, ambrish saxena, swati das, jonathan readwin, ankit yadav, anurag arora, vinayak gupta, vivek yadav, waheeda rehman","UNITED STATES, INDIA",2021-06-11,2021,pg,110 min,"Children & Family Movies, Dramas, International Movies","When a teen in rural India discovers a life-changing passion for skateboarding, she faces a rough road as she follows her dream to compete.",11-06-2021,2021-06
s738,tv show,trese,jay oliva,"shay mitchell, liza soberano, jon jon briones, darren criss, manny jacinto, dante basco, nicole scherzinger, lou diamond phillips, steve blum","PHILIPPINES, SINGAPORE, INDONESIA",2021-06-11,2021,tv-ma,1 season,"Anime Series, Crime TV Shows, TV Horror","In Manila, where dark supernatural forces pervade the criminal underworld, it’s up to Alexandra Trese to keep the peace — but there’s a storm brewing.",11-06-2021,2021-06
s739,movie,trese after dark,chris appelhans,"jimmy wong, john cho, constance wu, will yun lee, bobby lee, jimmy o. yang, ian chen","CHINA, UNITED STATES, CANADA",2021-06-11,2021,tv-14,36 min,"Anime Features, Documentaries","Stars and creators gather to discuss “Trese,” from its Filipino folklore inspirations to the comic’s beginnings and its journey to an anime series.",11-06-2021,2021-06
s740,movie,wish dragon,chris appelhans,"jimmy wong, john cho, constance wu, will yun lee, bobby lee, jimmy o. yang, ian chen","CHINA, UNITED STATES, CANADA",2021-06-11,2021,pg,102 min,"Children & Family Movies, Comedies",Determined teen Din is longing to reconnect with his childhood best friend when he meets a wish-granting dragon who shows him the magic of possibilities.,11-06-2021,2021-06
s741,movie,a haunted house 2,michael tiddes,"marlon wayans, jaime pressly, essence atkins, affion crockett, hayes macarthur, rick overton, ashley rickards, cedric the entertainer, dave sheridan, missi pyle, gabriel iglesias, steele stebbins",UNITED STATES,2021-06-10,2014,r,86 min,"Comedies, Horror Movies","Grieving after a tragedy, Malcolm tries to start fresh with his new girlfriend and her kids — but supernatural shenanigans find their way back to him.",10-06-2021,2021-06
s742,movie,blind intersections,lara saba,"alaa hammoud, ghida nouri, carole hajj, chadi haddad, leila hakim, charbel ziade, nibal arakji, caroline hatem, josyane boulos, mario bassil","LEBANON, UNITED ARAB EMIRATES",2021-06-10,2012,tv-ma,91 min,"Dramas, International Movies",This film follows the societal challenges three strangers in Beirut go through as unexpected events link their fates.,10-06-2021,2021-06
s743,movie,camellia sisters,"bao nhan, namcito","le khanh, kaity nguyen, hong van, khuong le, hoang dung, anh dung, si nguyen, huyng kien an",VIETNAM,2021-06-10,2021,tv-ma,117 min,"Dramas, International Movies",Tensions rise and untold secrets surface for three royal sisters when a family treasure is stolen the night before an antique auction.,10-06-2021,2021-06
s744,movie,copenhagen,mark raso,"gethin anthony, frederikke dahl hansen, sebastian armesto, olivia grant, baard owe, mille dinesen, martin hestbæk, tamzin merchant","CANADA, UNITED STATES, DENMARK",2021-06-10,2014,tv-ma,99 min,"Dramas, Independent Movies, Romantic Movies","Philandering his way across Europe to find the grandfather he's never met, William unexpectedly befriends a 14-year-old who changes how he sees women.",10-06-2021,2021-06
s745,tv show,locombianos,tariq alkazim,"freddy beltrán, pamela ospina, diego camargo, catalina guzmán",COLOMBIA,2021-06-10,2021,tv-ma,1 season,"International TV Shows, Spanish-Language TV Shows, Stand-Up Comedy & Talk Shows",Four of Colombia's funniest and bawdiest comedians perform before a post-quarantine audience hungry for their stories.,10-06-2021,2021-06
s746,movie,until midnight,tariq alkazim,"ahmad khamis ali, chuka ekweogwu, heba al hamwi, rik aby, merouane ali, khalid al suwaidi, saeed arjumand",UNITED ARAB EMIRATES,2021-06-10,2019,tv-14,77 min,"International Movies, Thrillers","After returning home from a work trip, a newlywed must fight off a masked intruder before his wife returns at midnight.",10-06-2021,2021-06
s747,movie,awake,mark raso,"gina rodriguez, ariana greenblatt, frances fisher, jennifer jason leigh, barry pepper, shamier anderson, finn jones, lucius hoyos, gil bellows",UNITED STATES,2021-06-09,2021,tv-ma,97 min,"Dramas, Thrillers","After a global event wipes out humanity's ability to sleep, a troubled ex-soldier fights to save her family as society and her mind spiral into chaos.",09-06-2021,2021-06
s748,movie,confusion na wa,kenneth gyang,"ramsey nouah, oc ukeje, ali nuhu, tunde aladese, gold ikponmwosa, tony goodman, nathaniel deme, yanchat sankey, lisa pam tok, toyin alabi",NIGERIA,2021-06-09,2013,tv-ma,106 min,"Comedies, Dramas, International Movies",A misplaced cell phone's incriminating content becomes a prime blackmail opportunity for a pair of petty thieves who soon regret their greedy scheme.,09-06-2021,2021-06
s749,tv show,"fresh, fried & crispy",yulene olaizola,"jessica alba, gabrielle union",UNITED STATES,2021-06-09,2021,tv-pg,1 season,Reality TV,"Passionate about food and ready for fun, critic Daym Drops drops in on America's smokin' hot spots for the best, freshest takes on fried food.",09-06-2021,2021-06
s750,tv show,l.a.’s finest,yulene olaizola,"jessica alba, gabrielle union",UNITED STATES,2021-06-09,2021,tv-ma,2 seasons,"Crime TV Shows, TV Action & Adventure, TV Comedies","In this spinoff of the ""Bad Boys"" franchise, two police detectives team up while trying to keep their stormy pasts — and differences — from interfering.",09-06-2021,2021-06
s751,movie,tragic jungle,yulene olaizola,"indira andrewin, gilberto barraza, gabino rodríguez, eligio meléndez, mariano tun xool, dale carley, josé alfredo gonzález dzul, eliseo mancilla de la cruz","MEXICO, FRANCE, COLOMBIA",2021-06-09,2021,tv-ma,97 min,"Dramas, Independent Movies, International Movies","To escape an arranged marriage, a woman flees into the depths of the Mayan jungle, where untamed nature merges the human and the supernatural.",09-06-2021,2021-06
s752,tv show,guru aur bhole,mark waters,amit kumar,"UNITED STATES, UNITED KINGDOM",2021-06-08,2018,tv-y7,2 seasons,"Kids' TV, TV Comedies",A singer and a dancer who are best friends use their artistic abilities to get out of one hilariously sticky situation after another.,08-06-2021,2021-06
s753,movie,vampire academy,mark waters,"zoey deutch, lucy fry, danila kozlovsky, gabriel byrne, dominic sherwood, sarah hyland, sami gayle","UNITED STATES, UNITED KINGDOM",2021-06-07,2014,pg-13,104 min,"Action & Adventure, Comedies, Sci-Fi & Fantasy","A half-human, half-vampire teen must prepare for class and her destiny as the protector of mortal vampires against their vicious immortal counterparts.",07-06-2021,2021-06
s754,tv show,"newly rich, newly poor",matthew heineman,"martín karpan, carolina acevedo, jhon álex toro, maría cecilia botero, andrés toro, andrea noceti, diana neira, hugo gómez, isabel cristina estrada, mauricio vélez",COLOMBIA,2021-06-06,2007,tv-ma,1 season,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows","After learning they were switched at birth, wealthy Andrés and working-class Brayan must adjust to the families and lifestyles they were meant to have.",06-06-2021,2021-06
s755,movie,a private war,matthew heineman,"rosamund pike, jamie dornan, tom hollander, stanley tucci, nikki amuka-bird, faye marsay, greg wise, corey johnson, raad rawi, jesuthasan antonythasan","UNITED KINGDOM, UNITED STATES",2021-06-05,2018,r,110 min,"Dramas, Independent Movies","In this biopic, war correspondent Marie Colvin risks it all to bring back the truth from the frontlines, despite the toll it takes on her own life.",05-06-2021,2021-06
s756,movie,kitty love: an homage to cats,robert peters,nicolette kluijver,NETHERLANDS,2021-06-05,2021,tv-g,61 min,"Children & Family Movies, Documentaries, International Movies","Famous feline Abatutu presents this charming celebration of cats, showcasing their finest and friskiest moments with a collection of home videos.",05-06-2021,2021-06
s757,movie,small chops,robert peters,"chika ike, max cavenham, nkem owoh, nse ikpe-etim, toyin abraham, eucharia anunobi, sophie alakija, hafis ayetoro, omotunde adebowale david",NIGERIA,2021-06-05,2020,tv-ma,98 min,"Dramas, International Movies, Romantic Movies","When a business mogul hires an exotic dancer for a weekend of entertainment, it quickly morphs into a messy situation full of misunderstanding.",05-06-2021,2021-06
s758,movie,breaking boundaries: the science of our planet,jonathan clay,"david attenborough, johan rockström",UNITED STATES,2021-06-04,2021,tv-pg,74 min,Documentaries,David Attenborough and scientist Johan Rockström examine Earth's biodiversity collapse and how this crisis can still be averted.,04-06-2021,2021-06
s759,tv show,feel good,ally pankiw,"mae martin, charlotte ritchie, lisa kudrow, sophie thompson, tom andrews, tobi bamtefa, phil burgers, ophelia lovibond, adrian lukis, ritu arya, ramon tikaram",UNITED KINGDOM,2021-06-04,2021,tv-ma,2 seasons,"Romantic TV Shows, TV Comedies, TV Dramas","Stand-up comic Mae Martin navigates a passionate, messy new relationship with her girlfriend, George, while dealing with the challenges of sobriety.",04-06-2021,2021-06
s760,movie,fireplace 4k: classic crackling fireplace from fireplace for your home,george ford,"jang ki-yong, chae soo-bin, jung soo-jung",SOUTH KOREA,2021-06-04,2015,tv-g,60 min,Movies,"The first of its kind in UHD 4K, with the clearest picture available, a real fireplace sparks and crackles, adding warmth and atmosphere to any home.",04-06-2021,2021-06
s761,movie,fireplace 4k: crackling birchwood from fireplace for your home,george ford,"jang ki-yong, chae soo-bin, jung soo-jung",SOUTH KOREA,2021-06-04,2015,tv-g,60 min,Movies,"For the first time in 4K Ultra-HD, everyone's favorite Yuletide fireplace snaps and crackles in crystal clear, high-def holiday warmth.",04-06-2021,2021-06
s762,tv show,human: the world within,lee kae-byeok,"jang ki-yong, chae soo-bin, jung soo-jung",SOUTH KOREA,2021-06-04,2021,tv-pg,1 season,"Docuseries, Science & Nature TV",Cutting-edge science and captivating personal stories collide in this illuminating docuseries about the incredible workings of the human body.,04-06-2021,2021-06
s763,movie,sweet & sour,lee kae-byeok,"jang ki-yong, chae soo-bin, jung soo-jung",SOUTH KOREA,2021-06-04,2021,tv-14,103 min,"Comedies, International Movies, Romantic Movies","Faced with real-world opportunities and challenges, a couple endures the highs and lows of trying to make a long-distance relationship survive.",04-06-2021,2021-06
s764,tv show,sweet tooth,jayan moodley,"nonso anozie, christian convery, adeel akhtar, stefania lavie owen, dania ramirez, aliza vellani, will forte, james brolin, neil sandilands, mia artemis",UNITED STATES,2021-06-04,2021,tv-14,1 season,"TV Action & Adventure, TV Dramas, TV Sci-Fi & Fantasy","On a perilous adventure across a post-apocalyptic world, a lovable boy who's half-human and half-deer searches for a new beginning with a gruff protector.",04-06-2021,2021-06
s765,movie,trippin' with the kandasamys,jayan moodley,"jailoshini naidoo, maeshni naicker, madhushan singh, mishqah parthiephal, koobeshan naidoo, yugan naidoo, mariam bassa, uraysha ramrachia",SOUTH AFRICA,2021-06-04,2021,tv-14,94 min,"Comedies, International Movies, Romantic Movies","To rekindle their marriages, best friends-turned-in-laws Shanthi and Jennifer plan a couples' getaway. But it comes with all kinds of surprises.",04-06-2021,2021-06
s766,movie,xtreme,daniel benmayor,"teo garcía, óscar jaenada, óscar casas, andrea duro, sergio peris-mencheta, alberto jo lee, luis zahera, andrés herrera, nao albet, césar bandera, isa montalbán",SPAIN,2021-06-04,2021,tv-ma,112 min,"Action & Adventure, International Movies","In this fast-paced and action-packed thriller, a retired hitman — along with his sister and a troubled teen — takes revenge on his lethal stepbrother.",04-06-2021,2021-06
s767,movie,alan saldaña: locked up,alex díaz,alan saldaña,MEXICO,2021-06-03,2021,tv-ma,49 min,Stand-Up Comedy,"Mexican comedian Alan Saldaña is back, poking gentle fun at himself and parceling advice, especially about how to stay married and how to be parents.",03-06-2021,2021-06
s768,tv show,creator's file: gold,helena bergström,"ryuji akiyama, ryusei yokohama, yumi adachi, ai tominaga, mei nagano, aki yashiro, kyary pamyu pamyu, akira nakao, shino ikenami, joe odagiri",JAPAN,2021-06-03,2021,tv-14,1 season,"International TV Shows, TV Comedies","Comedian Ryuji Akiyama satirizes top “creators” in Japan with a deadpan, unerring eye for humor, with help from some surprising celebrity guest stars.",03-06-2021,2021-06
s769,movie,dancing queens,helena bergström,"molly nutley, fredrik quiñones, marie göranzon, mattias nordkvist, claes malmberg, christopher wollter, emil almén, razmus nyström, andré christenson, louie indriana, max ulveson",SWEDEN,2021-06-03,2021,tv-ma,111 min,"Comedies, Dramas, International Movies","A dancer who gets a job cleaning at a struggling drag club dreams of being in the show, and her talent catches an ambitious choreographer's eye.",03-06-2021,2021-06
s770,movie,from stress to happiness,"alejandro de grazia, juan stadler",myriam fares,ARGENTINA,2021-06-03,2020,tv-g,58 min,"Documentaries, International Movies","A stressed-out documentary filmmaker goes on a journey of discovery with a pair of monks, one of whom is known as ""the happiest man in the world.""",03-06-2021,2021-06
s771,movie,myriam fares: the journey,myriam fares,myriam fares,UNITED ARAB EMIRATES,2021-06-03,2021,tv-14,72 min,"Documentaries, International Movies, Music & Musicals","From pregnancy to album preparations, Lebanese singer and “Queen of the Stage” Myriam Fares documents her experiences with her family while in lockdown.",03-06-2021,2021-06
s772,tv show,pretty guardian sailor moon eternal the movie,chiaki kon,"kotono mitsuishi, hisako kanemoto, rina satou, ami koshimizu, shizuka ito, misato fukuen, kenji nojima, junko minagawa, sayaka ohara, ai maeda, yukiyo fujii, ryo hirohashi, taishi murata, yoshitsugu matsuoka, shoko nakagawa, naomi watanabe, nanao",ITALY,2021-06-03,2021,tv-14,1 season,TV Shows,"When a dark power enshrouds the Earth after a total solar eclipse, the scattered Sailor Guardians must reunite to bring light back into the world.",03-06-2021,2021-06
s773,tv show,summertime,rae red,"coco rebecca edogamhe, ludovico tersigni, amanda campana, andrea lattanzi, giovanni maini, alicia ann edogamhe, thony",ITALY,2021-06-03,2021,tv-ma,2 seasons,"International TV Shows, Romantic TV Shows, TV Dramas",Two young adults from very different backgrounds fall in love during a summer on Italy’s Adriatic Coast. Inspired by Federico Moccia's book series.,03-06-2021,2021-06
s774,movie,the girl and the gun,rae red,"janine gutierrez, felix roco, jc santos, elijah canlas, sky teotico, archi adamos, allan paule, ruby ruiz, bie ruaro, jess mendoza",PHILIPPINES,2021-06-03,2019,tv-ma,78 min,"Dramas, International Movies, Thrillers","Fed up with abuse by those around her, a department store saleswoman finds a weapon in an alleyway and decides to settle scores.",03-06-2021,2021-06
s775,movie,2 hearts,lance hool,"jacob elordi, adan canto, radha mitchell, tiera skovbye, kari matchett, tahmoh penikett",UNITED STATES,2021-06-02,2020,pg-13,101 min,"Dramas, Faith & Spirituality, Romantic Movies","In parallel love stories, the lives of college student Chris and wealthy businessman Jorge intersect in a profound twist of fate. Based on a true story.",02-06-2021,2021-06
s776,movie,a perfect ending,nicole conn,"barbara niven, jessica clark, john heard, morgan fairchild, kerry knuppe, imelda corcoran, mary jane wells, rebecca staab, michael adam hamilton, bryan jackson, bryan mordechai jackson",UNITED STATES,2021-06-02,2012,tv-ma,110 min,"Dramas, Independent Movies, LGBTQ Movies","After confessing an unusual secret, a repressed wife – prompted by her friends – decides to explore her sexuality with a high-priced call girl.",02-06-2021,2021-06
s777,movie,american outlaws,les mayfield,"colin farrell, scott caan, ali larter, gabriel macht, gregory smith, harris yulin, kathy bates, timothy dalton, ty o'neal, will mccormack, ronny cox, terry o'quinn, muse watson, joe stevens, barry tubb",UNITED STATES,2021-06-02,2001,pg-13,94 min,Action & Adventure,"In the wake of the Civil War, Jesse James leads a feisty group of ranchers in a fight against a railroad baron bent on seizing their land at any cost.",02-06-2021,2021-06
s778,movie,and then came lola,"ellen seidler, megan siler","ashleigh sumner, jill bennett, cathy debuono, jessica graham, angelyna martinez, candy tolentino, linda ignazi, jenoa harlow, lisa dewey, kathy domenici",UNITED STATES,2021-06-02,2009,tv-ma,70 min,"Comedies, Independent Movies, LGBTQ Movies","In this lesbian-themed nod to the film Run Lola Run, a photographer races against the clock to make it to an important meeting on time.",02-06-2021,2021-06
s779,tv show,attack on titan,roger christian,"yuki kaji, yui ishikawa, marina inoue, kisho taniyama, yu shimamura, yu kobayashi, shiori mikami, hiro shimono, ryota osaka, yoshimasa hosoya, tomohisa hashizume, saki fujita, hiroshi kamiya, daisuke ono, romi park, keiji fujiwara, kazuhiro yamaji, yusaku yara, takehito koyasu",JAPAN,2021-06-02,2013,tv-ma,1 season,"Anime Series, International TV Shows","With his hometown in ruins, young Eren Yeager becomes determined to fight back against the giant Titans that threaten to destroy the human race.",02-06-2021,2021-06
s780,movie,battlefield earth,roger christian,"john travolta, barry pepper, forest whitaker, kim coates, sabine karsenti, richard tyson, kelly preston, michael macrae, shaun austin-olsen, tim post, michael byrne",UNITED STATES,2021-06-02,2000,pg-13,118 min,"Action & Adventure, Cult Movies, Sci-Fi & Fantasy","In the year 3000, an alien race known as the Psychlos devastate planet Earth and force the surviving human population into slavery.",02-06-2021,2021-06
s781,tv show,ben & holly's little kingdom,peter galison,"preston nyman, sian taylor, ian puleston-davies, sara crowe, sarah ann kennedy, judy flynn, john sparkes, david graham",UNITED KINGDOM,2021-06-02,2019,tv-y,2 seasons,Kids' TV,"In the magical Little Kingdom, friends Ben Elf and fairy princess Holly have fun adventures as they learn about teamwork, sharing and problem-solving.",02-06-2021,2021-06
s782,movie,black holes | the edge of all we know,peter galison,"craig sheffer, sheryl lee, terence stamp, casey siemaszko, spalding gray, lois chiles, blu mankuma, ken camroux-taylor, eli gabay, molly parker","CANADA, UNITED STATES",2021-06-02,2021,tv-14,99 min,Documentaries,Follow scientists on their quest to understand and capture the first image of a black hole while exploring the limits of our knowledge of the universe.,02-06-2021,2021-06
s783,movie,bliss,lance young,"craig sheffer, sheryl lee, terence stamp, casey siemaszko, spalding gray, lois chiles, blu mankuma, ken camroux-taylor, eli gabay, molly parker","CANADA, UNITED STATES",2021-06-02,1997,r,103 min,"Dramas, Romantic Movies","Two young newlyweds seek out the help of unlicensed sex therapist Baltazar, who initiates the couple into the mysteries of tantric sex.",02-06-2021,2021-06
s784,movie,carnaval,leandro neri,"giovana cordeiro, gkay, bruna inocencio, samya pascotto, flavia pavanelli, micael borges, jean pedro, rafael medrado, nikolas antunes, stella miranda",BRAZIL,2021-06-02,2021,tv-ma,95 min,"Comedies, International Movies, Music & Musicals","After a breakup, an influencer takes her friends on a free trip to Bahia's vibrant Carnival, where she learns life's not just about social media likes.",02-06-2021,2021-06
s785,movie,cloudburst,thom fitzgerald,"olympia dukakis, ryan doucette, brenda fricker, kristin booth, michael mcphee, john dunsworth, jeremy akerman, mary-colin chisholm, kevin kincaid","UNITED STATES, CANADA",2021-06-02,2011,tv-ma,93 min,"Comedies, Dramas, Independent Movies","A lesbian couple escapes from their nursing home and heads to Canada to get married. Along the way, they pick up a young male hitchhiker.",02-06-2021,2021-06
s786,tv show,cocomelon,don michael paul,"tom sizemore, chad michael collins, vinnie jones, dimitri diatchenko, neal mcdonough, jürgen prochnow, sam spruell, richard sammel, philip rham, alastair mackenzie",UNITED STATES,2021-06-02,2021,tv-y,3 seasons,Kids' TV,"Learn letters, numbers, animal sounds and more with J.J. in this edutaining series that brings fun times with nursery rhymes for the whole family!",02-06-2021,2021-06
s787,movie,company of heroes,don michael paul,"tom sizemore, chad michael collins, vinnie jones, dimitri diatchenko, neal mcdonough, jürgen prochnow, sam spruell, richard sammel, philip rham, alastair mackenzie",UNITED STATES,2021-06-02,2013,r,101 min,"Action & Adventure, Dramas","During the last major German offensive of World War II, a group of Allied soldiers sets out against all odds to turn the war around.",02-06-2021,2021-06
s788,movie,cradle 2 the grave,andrzej bartkowiak,"jet li, dmx, anthony anderson, kelly hu, tom arnold, mark dacascos, gabrielle union, michael jace, drag-on, paige hurd",UNITED STATES,2021-06-02,2003,r,101 min,Action & Adventure,"When a jewel thief pulls off a risky diamond heist with his crew, a gang kidnaps his young daughter and steals the loot as a rival agent offers his help.",02-06-2021,2021-06
s789,movie,domestic disturbance,harold becker,"john travolta, vince vaughn, teri polo, matt o'leary, ruben santiago-hudson, susan floyd, angelica page, steve buscemi, chris ellis",UNITED STATES,2021-06-02,2001,pg-13,89 min,Thrillers,A recovering alcoholic is skeptical of his son's claim that his new stepfather is a killer – but soon begins to sense the boy is telling the truth.,02-06-2021,2021-06
s790,tv show,downton abbey,andrew jenks,"hugh bonneville, jessica brown findlay, samantha bond, laura carmichael, jim carter, raquel cassidy, brendan coyle, tom cullen, michelle dockery, kevin doyle, siobhan finneran, michael fox, joanne froggatt, matthew goode, harry hadden-paton, thomas howes, lily james, rob james-collier, rose leslie, phyllis logan, elizabeth mcgovern, sophie mcshera, lesley nicol, maggie smith, penelope wilton",UNITED KINGDOM,2021-06-02,2015,tv-14,6 seasons,"British TV Shows, International TV Shows, TV Dramas","Exposing the snobbery and machinations of a vanishing class system, this series chronicles events in the lives of the Crawley family and their servants.",02-06-2021,2021-06
s791,movie,dream/killer,andrew jenks,"bill ferguson, ryan ferguson",UNITED STATES,2021-06-02,2015,tv-ma,109 min,Documentaries,This riveting crime doc follows Bill as he confronts America's broken judicial system after his son is falsely sentenced to 40 years in prison.,02-06-2021,2021-06
